datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-06-30 14:00:00,1.1724700000000001,1.17317,1.1723,1.1723,2465,0,0,EURUSD,H1,Monday,14
2025-06-30 15:00:00,1.17234,1.17252,1.17079,1.17133,3100,0,0,EURUSD,H1,Monday,15
2025-06-30 16:00:00,1.17133,1.17216,1.17121,1.17215,3679,0,0,EURUSD,H1,Monday,16
2025-06-30 17:00:00,1.17214,1.17509,1.17107,1.17388,7137,0,0,EURUSD,H1,Monday,17
2025-06-30 18:00:00,1.17388,1.17717,1.1733500000000001,1.17697,5447,0,0,EURUSD,H1,Monday,18
2025-06-30 19:00:00,1.17695,1.177,1.17488,1.17628,4037,0,0,EURUSD,H1,Monday,19
2025-06-30 20:00:00,1.17627,1.17707,1.17606,1.17658,2761,0,0,EURUSD,H1,Monday,20
2025-06-30 21:00:00,1.17659,1.17798,1.17645,1.17758,2411,0,0,EURUSD,H1,Monday,21
2025-06-30 22:00:00,1.17754,1.1780599999999999,1.17726,1.17797,1927,0,0,EURUSD,H1,Monday,22
2025-06-30 23:00:00,1.17792,1.1788,1.17775,1.1786699999999999,1322,0,0,EURUSD,H1,Monday,23
2025-07-01 00:00:00,1.17822,1.17848,1.17686,1.17794,1750,24,0,EURUSD,H1,Tuesday,0
2025-07-01 01:00:00,1.17795,1.17909,1.17775,1.17855,1298,1,0,EURUSD,H1,Tuesday,1
2025-07-01 02:00:00,1.17851,1.17874,1.17834,1.17863,701,0,0,EURUSD,H1,Tuesday,2
2025-07-01 03:00:00,1.17862,1.17981,1.17862,1.17977,2287,0,0,EURUSD,H1,Tuesday,3
2025-07-01 04:00:00,1.17978,1.18076,1.17797,1.17803,2668,0,0,EURUSD,H1,Tuesday,4
2025-07-01 05:00:00,1.17804,1.17896,1.1778,1.17882,1740,0,0,EURUSD,H1,Tuesday,5
2025-07-01 06:00:00,1.17881,1.1794,1.1786699999999999,1.17895,1214,0,0,EURUSD,H1,Tuesday,6
2025-07-01 07:00:00,1.17897,1.17941,1.17829,1.17864,1473,0,0,EURUSD,H1,Tuesday,7
2025-07-01 08:00:00,1.17865,1.17896,1.17802,1.17864,1570,0,0,EURUSD,H1,Tuesday,8
2025-07-01 09:00:00,1.17861,1.17869,1.1776,1.17793,3188,0,0,EURUSD,H1,Tuesday,9
2025-07-01 10:00:00,1.17794,1.17879,1.17676,1.17859,4074,0,0,EURUSD,H1,Tuesday,10
2025-07-01 11:00:00,1.1785,1.18173,1.1774499999999999,1.18047,4718,0,0,EURUSD,H1,Tuesday,11
2025-07-01 12:00:00,1.18046,1.18299,1.17967,1.18136,4765,0,0,EURUSD,H1,Tuesday,12
2025-07-01 13:00:00,1.18137,1.18235,1.18108,1.18115,3136,0,0,EURUSD,H1,Tuesday,13
2025-07-01 14:00:00,1.1811,1.18194,1.18057,1.18139,2819,0,0,EURUSD,H1,Tuesday,14
2025-07-01 15:00:00,1.18139,1.18176,1.18022,1.18037,3846,0,0,EURUSD,H1,Tuesday,15
2025-07-01 16:00:00,1.18036,1.1812,1.1793,1.18003,5029,0,0,EURUSD,H1,Tuesday,16
2025-07-01 17:00:00,1.18006,1.18009,1.17752,1.1779600000000001,8321,0,0,EURUSD,H1,Tuesday,17
2025-07-01 18:00:00,1.17797,1.17797,1.17691,1.17759,4734,0,0,EURUSD,H1,Tuesday,18
2025-07-01 19:00:00,1.1776,1.1776,1.17614,1.17654,3175,0,0,EURUSD,H1,Tuesday,19
2025-07-01 20:00:00,1.17655,1.17836,1.17655,1.17829,2577,0,0,EURUSD,H1,Tuesday,20
2025-07-01 21:00:00,1.17829,1.17836,1.17751,1.17809,1625,0,0,EURUSD,H1,Tuesday,21
2025-07-01 22:00:00,1.17807,1.17913,1.17795,1.17911,1880,0,0,EURUSD,H1,Tuesday,22
2025-07-01 23:00:00,1.1791,1.18065,1.17909,1.18057,1326,0,0,EURUSD,H1,Tuesday,23
2025-07-02 00:00:00,1.17999,1.1804000000000001,1.17985,1.18032,763,24,0,EURUSD,H1,Wednesday,0
2025-07-02 01:00:00,1.18043,1.18064,1.1802,1.18028,587,1,0,EURUSD,H1,Wednesday,1
2025-07-02 02:00:00,1.18031,1.18071,1.17992,1.18053,595,0,0,EURUSD,H1,Wednesday,2
2025-07-02 03:00:00,1.18051,1.18082,1.17992,1.18076,1936,0,0,EURUSD,H1,Wednesday,3
2025-07-02 04:00:00,1.1807699999999999,1.1810100000000001,1.17921,1.17935,2093,0,0,EURUSD,H1,Wednesday,4
2025-07-02 05:00:00,1.17936,1.18018,1.17883,1.18001,1920,0,0,EURUSD,H1,Wednesday,5
2025-07-02 06:00:00,1.18005,1.1803,1.17961,1.18002,1444,0,0,EURUSD,H1,Wednesday,6
2025-07-02 07:00:00,1.18004,1.1801300000000001,1.17958,1.17963,1154,0,0,EURUSD,H1,Wednesday,7
2025-07-02 08:00:00,1.17963,1.17982,1.17845,1.17873,1966,0,0,EURUSD,H1,Wednesday,8
2025-07-02 09:00:00,1.17878,1.17936,1.17733,1.17816,2954,0,0,EURUSD,H1,Wednesday,9
2025-07-02 10:00:00,1.17815,1.17836,1.1771099999999999,1.17742,3255,0,0,EURUSD,H1,Wednesday,10
2025-07-02 11:00:00,1.17741,1.17815,1.1770100000000001,1.17758,2952,0,0,EURUSD,H1,Wednesday,11
2025-07-02 12:00:00,1.17757,1.17777,1.17671,1.17702,2672,0,0,EURUSD,H1,Wednesday,12
2025-07-02 13:00:00,1.17707,1.17809,1.17648,1.17678,2474,0,0,EURUSD,H1,Wednesday,13
2025-07-02 14:00:00,1.17677,1.17714,1.1747,1.17497,3577,0,0,EURUSD,H1,Wednesday,14
2025-07-02 15:00:00,1.17495,1.17882,1.17474,1.17566,9087,0,0,EURUSD,H1,Wednesday,15
2025-07-02 16:00:00,1.17565,1.17775,1.17548,1.17599,6467,0,0,EURUSD,H1,Wednesday,16
2025-07-02 17:00:00,1.17598,1.17707,1.17506,1.17676,5670,0,0,EURUSD,H1,Wednesday,17
2025-07-02 18:00:00,1.17672,1.17898,1.17661,1.17893,4238,0,0,EURUSD,H1,Wednesday,18
2025-07-02 19:00:00,1.17892,1.17941,1.17856,1.17885,2960,0,0,EURUSD,H1,Wednesday,19
2025-07-02 20:00:00,1.17884,1.18002,1.17884,1.17957,2119,0,0,EURUSD,H1,Wednesday,20
2025-07-02 21:00:00,1.17954,1.18002,1.17934,1.17996,1992,0,0,EURUSD,H1,Wednesday,21
2025-07-02 22:00:00,1.17995,1.18032,1.17954,1.18023,1631,0,0,EURUSD,H1,Wednesday,22
2025-07-02 23:00:00,1.18023,1.18024,1.17956,1.17984,907,0,0,EURUSD,H1,Wednesday,23
2025-07-03 00:00:00,1.17947,1.17977,1.17856,1.17943,668,24,0,EURUSD,H1,Thursday,0
2025-07-03 01:00:00,1.17944,1.18002,1.17932,1.17983,755,1,0,EURUSD,H1,Thursday,1
2025-07-03 02:00:00,1.17984,1.1802,1.17972,1.17987,509,0,0,EURUSD,H1,Thursday,2
2025-07-03 03:00:00,1.17982,1.18087,1.1797900000000001,1.18067,1830,0,0,EURUSD,H1,Thursday,3
2025-07-03 04:00:00,1.1807,1.18103,1.1804000000000001,1.18044,1490,0,0,EURUSD,H1,Thursday,4
2025-07-03 05:00:00,1.18045,1.18048,1.17947,1.1797900000000001,1427,0,0,EURUSD,H1,Thursday,5
2025-07-03 06:00:00,1.1798,1.17997,1.17893,1.17917,1246,0,0,EURUSD,H1,Thursday,6
2025-07-03 07:00:00,1.17917,1.17932,1.17873,1.1789399999999999,819,0,0,EURUSD,H1,Thursday,7
2025-07-03 08:00:00,1.17895,1.17961,1.1786699999999999,1.17961,1439,0,0,EURUSD,H1,Thursday,8
2025-07-03 09:00:00,1.1796,1.18029,1.17916,1.18023,3235,0,0,EURUSD,H1,Thursday,9
2025-07-03 10:00:00,1.18023,1.181,1.17944,1.1801300000000001,3192,0,0,EURUSD,H1,Thursday,10
2025-07-03 11:00:00,1.18014,1.18084,1.17957,1.1797900000000001,2575,0,0,EURUSD,H1,Thursday,11
2025-07-03 12:00:00,1.1798,1.1798,1.17885,1.17925,2616,0,0,EURUSD,H1,Thursday,12
2025-07-03 13:00:00,1.17926,1.18001,1.17869,1.17933,2144,0,0,EURUSD,H1,Thursday,13
2025-07-03 14:00:00,1.17932,1.17969,1.17831,1.17848,2368,0,0,EURUSD,H1,Thursday,14
2025-07-03 15:00:00,1.17849,1.17896,1.17168,1.17383,18791,0,0,EURUSD,H1,Thursday,15
2025-07-03 16:00:00,1.17382,1.17795,1.17338,1.17742,7756,0,0,EURUSD,H1,Thursday,16
2025-07-03 17:00:00,1.17744,1.17897,1.17512,1.17532,6900,0,0,EURUSD,H1,Thursday,17
2025-07-03 18:00:00,1.17531,1.17663,1.17493,1.1757,4138,0,0,EURUSD,H1,Thursday,18
2025-07-03 19:00:00,1.17572,1.1758,1.17399,1.17525,2811,0,0,EURUSD,H1,Thursday,19
2025-07-03 20:00:00,1.17525,1.17582,1.17503,1.17541,1172,0,0,EURUSD,H1,Thursday,20
2025-07-03 21:00:00,1.17541,1.17566,1.17481,1.17488,999,0,0,EURUSD,H1,Thursday,21
2025-07-03 22:00:00,1.17488,1.17525,1.17444,1.17478,794,0,0,EURUSD,H1,Thursday,22
2025-07-03 23:00:00,1.17476,1.17596,1.17464,1.17564,816,0,0,EURUSD,H1,Thursday,23
2025-07-04 00:00:00,1.17558,1.17594,1.17516,1.17564,532,23,0,EURUSD,H1,Friday,0
2025-07-04 01:00:00,1.17565,1.17594,1.17538,1.17594,538,1,0,EURUSD,H1,Friday,1
2025-07-04 02:00:00,1.17594,1.17715,1.17559,1.1769,869,0,0,EURUSD,H1,Friday,2
2025-07-04 03:00:00,1.17689,1.17707,1.17636,1.1767,1878,0,0,EURUSD,H1,Friday,3
2025-07-04 04:00:00,1.17671,1.17695,1.17558,1.17597,2050,0,0,EURUSD,H1,Friday,4
2025-07-04 05:00:00,1.17596,1.17708,1.17596,1.17654,1562,0,0,EURUSD,H1,Friday,5
2025-07-04 06:00:00,1.17653,1.17726,1.17645,1.177,1423,0,0,EURUSD,H1,Friday,6
2025-07-04 07:00:00,1.177,1.178,1.17693,1.17799,1482,0,0,EURUSD,H1,Friday,7
2025-07-04 08:00:00,1.178,1.17856,1.17798,1.17842,1755,0,0,EURUSD,H1,Friday,8
2025-07-04 09:00:00,1.17843,1.1785,1.17744,1.17812,2856,0,0,EURUSD,H1,Friday,9
2025-07-04 10:00:00,1.17812,1.17827,1.17677,1.17697,3672,0,0,EURUSD,H1,Friday,10
2025-07-04 11:00:00,1.17697,1.17775,1.17682,1.17743,2740,0,0,EURUSD,H1,Friday,11
2025-07-04 12:00:00,1.17741,1.17821,1.17721,1.17783,2617,0,0,EURUSD,H1,Friday,12
2025-07-04 13:00:00,1.17782,1.17811,1.17749,1.17777,2545,0,0,EURUSD,H1,Friday,13
2025-07-04 14:00:00,1.17776,1.17819,1.17683,1.17688,2502,0,0,EURUSD,H1,Friday,14
2025-07-04 15:00:00,1.17689,1.17719,1.17639,1.17666,2271,0,0,EURUSD,H1,Friday,15
2025-07-04 16:00:00,1.17665,1.17809,1.17663,1.1779600000000001,1917,0,0,EURUSD,H1,Friday,16
2025-07-04 17:00:00,1.17795,1.17876,1.17752,1.17785,2471,0,0,EURUSD,H1,Friday,17
2025-07-04 18:00:00,1.17783,1.17846,1.17759,1.17786,1950,0,0,EURUSD,H1,Friday,18
2025-07-04 19:00:00,1.17786,1.17818,1.17736,1.17744,1487,0,0,EURUSD,H1,Friday,19
2025-07-04 20:00:00,1.17741,1.17776,1.17723,1.17758,3240,0,0,EURUSD,H1,Friday,20
