datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-04-01 05:00:00,1.08205,1.08284,1.08201,1.0824,1588,2,0,EURUSD,H1,Tuesday,5
2025-04-01 06:00:00,1.08241,1.08277,1.0821,1.08269,1511,2,0,EURUSD,H1,Tuesday,6
2025-04-01 07:00:00,1.0827,1.08301,1.08249,1.0825,1299,2,0,EURUSD,H1,Tuesday,7
2025-04-01 08:00:00,1.08251,1.08251,1.08064,1.08068,1765,2,0,EURUSD,H1,Tuesday,8
2025-04-01 09:00:00,1.08068,1.08105,1.0799,1.08083,2434,2,0,EURUSD,H1,Tuesday,9
2025-04-01 10:00:00,1.0808200000000001,1.08124,1.07991,1.08017,3134,2,0,EURUSD,H1,Tuesday,10
2025-04-01 11:00:00,1.08011,1.08179,1.08004,1.08176,2027,2,0,EURUSD,H1,Tuesday,11
2025-04-01 12:00:00,1.08176,1.08291,1.08147,1.08173,2297,2,0,EURUSD,H1,Tuesday,12
2025-04-01 13:00:00,1.08173,1.08185,1.07901,1.0798,3216,2,0,EURUSD,H1,Tuesday,13
2025-04-01 14:00:00,1.0798,1.07984,1.07782,1.07811,3072,2,0,EURUSD,H1,Tuesday,14
2025-04-01 15:00:00,1.07811,1.07952,1.07811,1.07871,2684,2,0,EURUSD,H1,Tuesday,15
2025-04-01 16:00:00,1.07871,1.07954,1.07792,1.0787,2905,2,0,EURUSD,H1,Tuesday,16
2025-04-01 17:00:00,1.07833,1.08123,1.07833,1.08075,4597,2,0,EURUSD,H1,Tuesday,17
2025-04-01 18:00:00,1.08074,1.08123,1.07986,1.07993,3457,2,0,EURUSD,H1,Tuesday,18
2025-04-01 19:00:00,1.07993,1.0803,1.07926,1.07997,2419,2,0,EURUSD,H1,Tuesday,19
2025-04-01 20:00:00,1.07997,1.08045,1.07912,1.07929,1521,2,0,EURUSD,H1,Tuesday,20
2025-04-01 21:00:00,1.07929,1.07947,1.07851,1.07869,1638,2,0,EURUSD,H1,Tuesday,21
2025-04-01 22:00:00,1.0787,1.07908,1.07855,1.0789900000000001,1307,2,0,EURUSD,H1,Tuesday,22
2025-04-01 23:00:00,1.07898,1.08014,1.07884,1.07948,755,3,0,EURUSD,H1,Tuesday,23
2025-04-02 00:00:00,1.07871,1.07945,1.07871,1.07927,483,23,0,EURUSD,H1,Wednesday,0
2025-04-02 01:00:00,1.07927,1.08081,1.07918,1.07991,1171,2,0,EURUSD,H1,Wednesday,1
2025-04-02 02:00:00,1.07991,1.07998,1.07941,1.07942,771,2,0,EURUSD,H1,Wednesday,2
2025-04-02 03:00:00,1.07942,1.0795,1.07888,1.07904,1670,2,0,EURUSD,H1,Wednesday,3
2025-04-02 04:00:00,1.07904,1.07949,1.0787,1.07947,1493,2,0,EURUSD,H1,Wednesday,4
2025-04-02 05:00:00,1.07951,1.08018,1.0794,1.07942,1408,2,0,EURUSD,H1,Wednesday,5
2025-04-02 06:00:00,1.07942,1.07999,1.07936,1.07957,1106,2,0,EURUSD,H1,Wednesday,6
2025-04-02 07:00:00,1.07957,1.07974,1.07925,1.07926,858,2,0,EURUSD,H1,Wednesday,7
2025-04-02 08:00:00,1.07926,1.07926,1.07859,1.07895,1380,2,0,EURUSD,H1,Wednesday,8
2025-04-02 09:00:00,1.07896,1.07963,1.07876,1.07927,1972,2,0,EURUSD,H1,Wednesday,9
2025-04-02 10:00:00,1.07927,1.07947,1.078,1.07916,2404,2,0,EURUSD,H1,Wednesday,10
2025-04-02 11:00:00,1.07917,1.08018,1.07906,1.07974,1965,2,0,EURUSD,H1,Wednesday,11
