datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-04-15 14:00:00,1.32404,1.3241,1.32184,1.3231600000000001,3311,6,0,GBPUSD,H1,Tuesday,14
2025-04-15 15:00:00,1.32317,1.32442,1.32202,1.3223,4581,6,0,GBPUSD,H1,Tuesday,15
2025-04-15 16:00:00,1.3223099999999999,1.32354,1.32146,1.32271,4997,6,0,GBPUSD,H1,Tuesday,16
2025-04-15 17:00:00,1.32271,1.3246,1.3205,1.32443,5867,6,0,GBPUSD,H1,Tuesday,17
2025-04-15 18:00:00,1.32444,1.32457,1.32176,1.322,4487,6,0,GBPUSD,H1,Tuesday,18
2025-04-15 19:00:00,1.32199,1.32246,1.32058,1.32119,3540,6,0,GBPUSD,H1,Tuesday,19
2025-04-15 20:00:00,1.32119,1.32276,1.32077,1.3217400000000001,3115,6,0,GBPUSD,H1,Tuesday,20
2025-04-15 21:00:00,1.32171,1.32185,1.32059,1.32165,2519,6,0,GBPUSD,H1,Tuesday,21
2025-04-15 22:00:00,1.32161,1.32293,1.32123,1.32261,1943,6,0,GBPUSD,H1,Tuesday,22
2025-04-15 23:00:00,1.32261,1.32342,1.3225500000000001,1.32313,1183,7,0,GBPUSD,H1,Tuesday,23
2025-04-16 00:00:00,1.32203,1.32309,1.32149,1.32213,897,55,0,GBPUSD,H1,Wednesday,0
2025-04-16 01:00:00,1.32212,1.32383,1.32212,1.32362,1289,6,0,GBPUSD,H1,Wednesday,1
2025-04-16 02:00:00,1.32361,1.32365,1.3224,1.32305,2011,6,0,GBPUSD,H1,Wednesday,2
2025-04-16 03:00:00,1.32305,1.32537,1.3229199999999999,1.32462,2855,6,0,GBPUSD,H1,Wednesday,3
2025-04-16 04:00:00,1.32463,1.32565,1.32427,1.32493,2486,6,0,GBPUSD,H1,Wednesday,4
2025-04-16 05:00:00,1.3249900000000001,1.32561,1.32444,1.32483,2435,6,0,GBPUSD,H1,Wednesday,5
2025-04-16 06:00:00,1.32483,1.3262800000000001,1.32471,1.3262800000000001,2091,6,0,GBPUSD,H1,Wednesday,6
2025-04-16 07:00:00,1.32629,1.3266499999999999,1.32569,1.32641,1900,6,0,GBPUSD,H1,Wednesday,7
