datetime,open,high,low,close,volume,spread,real_volume,symbol,timeframe,weekday,hour
2025-04-15 13:45:00,1.3242,1.32468,1.32372,1.32406,637,6,0,GBPUSD,M15,Tuesday,13
2025-04-15 14:00:00,1.32404,1.3241,1.32272,1.32291,649,7,0,GBPUSD,M15,Tuesday,14
2025-04-15 14:15:00,1.32291,1.3229899999999999,1.3222,1.3225799999999999,768,7,0,GBPUSD,M15,Tuesday,14
2025-04-15 14:30:00,1.3225799999999999,1.32304,1.32199,1.3225799999999999,958,6,0,GBPUSD,M15,Tuesday,14
2025-04-15 14:45:00,1.3225799999999999,1.3231600000000001,1.32184,1.3231600000000001,936,6,0,GBPUSD,M15,Tuesday,14
2025-04-15 15:00:00,1.32317,1.32406,1.3231,1.32404,972,6,0,GBPUSD,M15,Tuesday,15
2025-04-15 15:15:00,1.32404,1.32442,1.32328,1.32367,881,6,0,GBPUSD,M15,Tuesday,15
2025-04-15 15:30:00,1.32367,1.32407,1.32229,1.32246,1352,6,0,GBPUSD,M15,Tuesday,15
2025-04-15 15:45:00,1.32242,1.32336,1.32202,1.3223,1376,6,0,GBPUSD,M15,Tuesday,15
2025-04-15 16:00:00,1.3223099999999999,1.32328,1.32219,1.32311,1230,6,0,GBPUSD,M15,Tuesday,16
2025-04-15 16:15:00,1.32309,1.32321,1.32165,1.32177,1096,6,0,GBPUSD,M15,Tuesday,16
2025-04-15 16:30:00,1.32179,1.32273,1.32146,1.32241,1316,6,0,GBPUSD,M15,Tuesday,16
2025-04-15 16:45:00,1.32244,1.32354,1.32175,1.32271,1355,6,0,GBPUSD,M15,Tuesday,16
2025-04-15 17:00:00,1.32271,1.32331,1.3210600000000001,1.32116,1451,6,0,GBPUSD,M15,Tuesday,17
2025-04-15 17:15:00,1.32117,1.3229,1.3205,1.32272,1623,7,0,GBPUSD,M15,Tuesday,17
2025-04-15 17:30:00,1.32278,1.32381,1.32249,1.32333,1317,6,0,GBPUSD,M15,Tuesday,17
2025-04-15 17:45:00,1.32333,1.3246,1.3229,1.32443,1476,6,0,GBPUSD,M15,Tuesday,17
2025-04-15 18:00:00,1.32444,1.32457,1.3226200000000001,1.32354,1231,6,0,GBPUSD,M15,Tuesday,18
2025-04-15 18:15:00,1.32355,1.324,1.32318,1.32342,1008,6,0,GBPUSD,M15,Tuesday,18
2025-04-15 18:30:00,1.32344,1.32385,1.32246,1.32248,1009,6,0,GBPUSD,M15,Tuesday,18
2025-04-15 18:45:00,1.32248,1.32287,1.32176,1.322,1239,6,0,GBPUSD,M15,Tuesday,18
2025-04-15 19:00:00,1.32199,1.32246,1.32138,1.32183,919,6,0,GBPUSD,M15,Tuesday,19
2025-04-15 19:15:00,1.32181,1.32202,1.3210600000000001,1.32127,880,6,0,GBPUSD,M15,Tuesday,19
2025-04-15 19:30:00,1.32127,1.3213,1.32058,1.32123,924,6,0,GBPUSD,M15,Tuesday,19
2025-04-15 19:45:00,1.32123,1.3216999999999999,1.3211,1.32119,817,6,0,GBPUSD,M15,Tuesday,19
2025-04-15 20:00:00,1.32119,1.32218,1.32077,1.32195,875,6,0,GBPUSD,M15,Tuesday,20
2025-04-15 20:15:00,1.32195,1.32276,1.3218,1.32253,811,6,0,GBPUSD,M15,Tuesday,20
2025-04-15 20:30:00,1.32252,1.32272,1.32217,1.32242,699,6,0,GBPUSD,M15,Tuesday,20
2025-04-15 20:45:00,1.32242,1.32261,1.32149,1.3217400000000001,730,6,0,GBPUSD,M15,Tuesday,20
2025-04-15 21:00:00,1.32171,1.32176,1.32085,1.32086,749,6,0,GBPUSD,M15,Tuesday,21
2025-04-15 21:15:00,1.32086,1.32155,1.32059,1.32142,703,6,0,GBPUSD,M15,Tuesday,21
2025-04-15 21:30:00,1.32142,1.32153,1.3208199999999999,1.32115,540,6,0,GBPUSD,M15,Tuesday,21
2025-04-15 21:45:00,1.32114,1.32185,1.32102,1.32165,527,6,0,GBPUSD,M15,Tuesday,21
2025-04-15 22:00:00,1.32161,1.32263,1.32123,1.32261,522,6,0,GBPUSD,M15,Tuesday,22
2025-04-15 22:15:00,1.32261,1.32293,1.32239,1.32253,443,6,0,GBPUSD,M15,Tuesday,22
2025-04-15 22:30:00,1.32253,1.32284,1.32227,1.3226,443,6,0,GBPUSD,M15,Tuesday,22
2025-04-15 22:45:00,1.3226,1.32284,1.32239,1.32261,535,6,0,GBPUSD,M15,Tuesday,22
2025-04-15 23:00:00,1.32261,1.32313,1.3225799999999999,1.32288,421,7,0,GBPUSD,M15,Tuesday,23
2025-04-15 23:15:00,1.32288,1.32331,1.3225500000000001,1.32331,242,7,0,GBPUSD,M15,Tuesday,23
2025-04-15 23:30:00,1.3233,1.32342,1.32302,1.32304,301,7,0,GBPUSD,M15,Tuesday,23
2025-04-15 23:45:00,1.32303,1.32321,1.32293,1.32313,219,15,0,GBPUSD,M15,Tuesday,23
2025-04-16 00:00:00,1.32203,1.32309,1.32149,1.32247,100,69,0,GBPUSD,M15,Wednesday,0
2025-04-16 00:15:00,1.32247,1.32252,1.32208,1.32224,220,102,0,GBPUSD,M15,Wednesday,0
2025-04-16 00:30:00,1.32224,1.3225799999999999,1.32211,1.32217,255,70,0,GBPUSD,M15,Wednesday,0
2025-04-16 00:45:00,1.32217,1.32256,1.32202,1.32213,322,55,0,GBPUSD,M15,Wednesday,0
2025-04-16 01:00:00,1.32212,1.32383,1.32212,1.32375,458,6,0,GBPUSD,M15,Wednesday,1
2025-04-16 01:15:00,1.3237700000000001,1.32383,1.32318,1.32331,332,6,0,GBPUSD,M15,Wednesday,1
2025-04-16 01:30:00,1.32332,1.32363,1.3232599999999999,1.3235700000000001,251,6,0,GBPUSD,M15,Wednesday,1
2025-04-16 01:45:00,1.3235700000000001,1.32376,1.3235299999999999,1.32362,248,6,0,GBPUSD,M15,Wednesday,1
2025-04-16 02:00:00,1.32361,1.32365,1.3224,1.32297,559,6,0,GBPUSD,M15,Wednesday,2
2025-04-16 02:15:00,1.3229600000000001,1.32308,1.32264,1.32295,511,6,0,GBPUSD,M15,Wednesday,2
2025-04-16 02:30:00,1.32284,1.32338,1.32284,1.32337,508,6,0,GBPUSD,M15,Wednesday,2
2025-04-16 02:45:00,1.32337,1.32348,1.32278,1.32305,433,6,0,GBPUSD,M15,Wednesday,2
2025-04-16 03:00:00,1.32305,1.32469,1.3229199999999999,1.32463,739,6,0,GBPUSD,M15,Wednesday,3
2025-04-16 03:15:00,1.32464,1.32537,1.32442,1.32483,754,6,0,GBPUSD,M15,Wednesday,3
2025-04-16 03:30:00,1.32483,1.3253,1.32453,1.32471,616,6,0,GBPUSD,M15,Wednesday,3
2025-04-16 03:45:00,1.32471,1.32505,1.32447,1.32462,746,6,0,GBPUSD,M15,Wednesday,3
2025-04-16 04:00:00,1.32463,1.32524,1.32459,1.3248,590,6,0,GBPUSD,M15,Wednesday,4
2025-04-16 04:15:00,1.3248,1.32522,1.3247,1.3247200000000001,649,6,0,GBPUSD,M15,Wednesday,4
2025-04-16 04:30:00,1.3247200000000001,1.32565,1.32427,1.32528,605,6,0,GBPUSD,M15,Wednesday,4
2025-04-16 04:45:00,1.32528,1.32537,1.32478,1.32493,642,6,0,GBPUSD,M15,Wednesday,4
2025-04-16 05:00:00,1.3249900000000001,1.3255,1.3246,1.32496,717,6,0,GBPUSD,M15,Wednesday,5
2025-04-16 05:15:00,1.32496,1.3256000000000001,1.32474,1.32517,628,6,0,GBPUSD,M15,Wednesday,5
2025-04-16 05:30:00,1.32518,1.32561,1.325,1.3250199999999999,496,6,0,GBPUSD,M15,Wednesday,5
2025-04-16 05:45:00,1.32501,1.3252,1.32444,1.32483,594,6,0,GBPUSD,M15,Wednesday,5
2025-04-16 06:00:00,1.32483,1.32526,1.32483,1.32518,494,6,0,GBPUSD,M15,Wednesday,6
2025-04-16 06:15:00,1.32518,1.3253599999999999,1.32471,1.32507,512,6,0,GBPUSD,M15,Wednesday,6
2025-04-16 06:30:00,1.32511,1.32587,1.3250600000000001,1.32582,675,6,0,GBPUSD,M15,Wednesday,6
2025-04-16 06:45:00,1.32582,1.3262800000000001,1.32572,1.3262800000000001,410,6,0,GBPUSD,M15,Wednesday,6
2025-04-16 07:00:00,1.32629,1.32644,1.32588,1.32599,571,6,0,GBPUSD,M15,Wednesday,7
2025-04-16 07:15:00,1.32599,1.32612,1.32569,1.32598,396,6,0,GBPUSD,M15,Wednesday,7
2025-04-16 07:30:00,1.32598,1.32664,1.32574,1.32657,467,6,0,GBPUSD,M15,Wednesday,7
2025-04-16 07:45:00,1.3265799999999999,1.3266499999999999,1.32626,1.32641,466,6,0,GBPUSD,M15,Wednesday,7
2025-04-16 08:00:00,1.32643,1.3265799999999999,1.32609,1.32625,624,6,0,GBPUSD,M15,Wednesday,8
2025-04-16 08:15:00,1.32625,1.32651,1.32598,1.3262,760,6,0,GBPUSD,M15,Wednesday,8
2025-04-16 08:30:00,1.32621,1.32676,1.32589,1.32661,735,6,0,GBPUSD,M15,Wednesday,8
2025-04-16 08:45:00,1.32661,1.32897,1.32626,1.3281100000000001,951,6,0,GBPUSD,M15,Wednesday,8
